rank;page;category;title;link;rating;review_count;price
2;1;Best Sellers in Apps & Games;CaseCraft Studio;https://www.amazon.com/DZENDEV-LIMITED-CaseCraft-Studio/dp/B0FRGBX5CP/ref=zg_bs_g_mobile-apps_d_sccl_2/145-8561872-7371915?psc=1;1.0 out of 5 stars;1;$9.99
3;1;Best Sellers in Apps & Games;Stealth Escape: Hide and Run;https://www.amazon.com/Stealth-Escape-Hide-and-Run/dp/B0FRFZS39S/ref=zg_bs_g_mobile-apps_d_sccl_3/145-8561872-7371915?psc=1;1.0 out of 5 stars;1;$4.99
1;1;Best Sellers in Arts, Crafts & Sewing;Apple Barrel Acrylic Paint in Assorted Colors (8 Ounce), 20403 White;https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-Colors/dp/B0018NBVKQ/ref=zg_bs_g_arts-crafts_d_sccl_1/145-8561872-7371915?psc=1;4.8 out of 5 stars;25,328;$2.97
2;1;Best Sellers in Arts, Crafts & Sewing;BADCOLOR Black Cream-Blendable Face Body Paint Stick for Adults Children Eye Black Softball Football Baseball Sports , Non-Toxic Hypoallergenic for Halloween SFX Makeup Cosplay Joker Costume Parties;https://www.amazon.com/BADCOLOR-Cream-Blendable-Non-Toxic-Hypoallergenic-Halloween/dp/B0C3QP952N/ref=zg_bs_g_arts-crafts_d_sccl_2/145-8561872-7371915?psc=1;4.3 out of 5 stars;1,863;$5.99
3;1;Best Sellers in Arts, Crafts & Sewing;ARTISTRO 24 Acrylic Paint Markers for Rock, Fabric, Wood, Glass, Craft, Decoration - Dual-Tip Paint Pens - Stocking Stuffers, Christmas Gift Idea for Teens, Grandkids, Kids - Art Supplies;https://www.amazon.com/ARTISTRO-Colors-Acrylic-Markers-Fabric/dp/B0CP48JPCH/ref=zg_bs_g_arts-crafts_d_sccl_3/145-8561872-7371915?psc=1;4.6 out of 5 stars;5,469;$9.97
1;1;Best Sellers in Audible Books & Originals;Nobody's Girl: A Memoir of Surviving Abuse and Fighting for Justice;https://www.amazon.com/Nobodys-Girl-Surviving-Fighting-Justice/dp/B0CCK2JD8W/ref=zg_bs_g_audible_d_sccl_1/145-8561872-7371915?isALC=true;4.6 out of 5 stars;108;$21.26
2;1;Best Sellers in Audible Books & Originals;The Let Them Theory: A Life-Changing Tool That Millions of People Can’t Stop Talking About;https://www.amazon.com/Let-Them-Theory-Life-Changing-Millions/dp/B0DFMZMKFJ/ref=zg_bs_g_audible_d_sccl_2/145-8561872-7371915?isALC=true;4.6 out of 5 stars;29,239;$29.66
3;1;Best Sellers in Audible Books & Originals;Gone Before Goodbye;https://www.amazon.com/Audible-Gone-Before-Goodbye/dp/B0DJ9K5CLM/ref=zg_bs_g_audible_d_sccl_3/145-8561872-7371915?isALC=true;4.2 out of 5 stars;1,287;$22.04
1;1;Best Sellers in Automotive;Kaistyle for Magsafe Car Mount【20 Strong Magnets】Magnetic Phone Holder for Car Phone Holder Mount Dash Mounted Holders Cell Phone Holders for Your Car Accessories for Women Men for iPhone 17 16 15 14;https://www.amazon.com/Mount%E3%80%9020-Magnets%E3%80%91Magnetic-Dashboard%E3%80%90360%C2%B0-Rotation%E3%80%91Hands-Accessories/dp/B0C1Y8Z6VT/ref=zg_bs_g_automotive_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;18,257;$9.98
2;1;Best Sellers in Automotive;Rain-X 5079279-2 Latitude 2-In-1 Water Repellent Wiper Blades, 22 Inch Windshield Wipers (Pack Of 1), Automotive Replacement Windshield Wiper Blades With Patented Rain-X Water Repellency Formula;https://www.amazon.com/Rain-X-5079279-2-Windshield-Automotive-Replacement/dp/B016NA9V78/ref=zg_bs_g_automotive_d_sccl_2/145-8561872-7371915?psc=1;4.3 out of 5 stars;115,736;$15.78
3;1;Best Sellers in Automotive;"USANOOKS Microfiber Cleaning Cloth Grey - 12 Pcs (12.5""x12.5"") - High Performance - 1200 Washes, Ultra Absorbent Microfiber Towel Weave Grime & Liquid for Streak-Free Mirror Shine - Car Washing Cloth";https://www.amazon.com/Microfiber-Cleaning-Cloth-Performance-Washes/dp/B08BRJHJF9/ref=zg_bs_g_automotive_d_sccl_3/145-8561872-7371915?psc=1;4.6 out of 5 stars;16,805;$6.98
1;1;Best Sellers in Baby;Pampers Swaddlers Diapers, Size 5 (20-37 lbs), 132 Count, Absorbent, Keeps Baby Dry and Comfortable, Skin Safe Disposable Baby Diaper (Packaging May Vary);https://www.amazon.com/Pampers-Swaddlers-Disposable-Diapers-SUPPLY/dp/B010OVZO64/ref=zg_bs_g_baby-products_d_sccl_1/145-8561872-7371915?psc=1;4.8 out of 5 stars;129,384;$55.94
2;1;Best Sellers in Baby;Huggies Natural Care Sensitive Baby Wipes, Unscented, Hypoallergenic, 99% Purified Water, 12 Flip-Top Packs (768 Wipes Total), Packaging May Vary;https://www.amazon.com/HUGGIES-Natural-Unscented-Sensitive-Water-Based/dp/B07SCL613T/ref=zg_bs_g_baby-products_d_sccl_2/145-8561872-7371915?psc=1;4.8 out of 5 stars;117,221;$21.67
