rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,review_density,norm_review_density,scraped_at
2,1,Best Sellers in Industrial & Scientific,Industrial & Scientific,Industrial,Scientific,"Supmedic Medical Soft Max™ Nitrile Exam Gloves, 100 Count Latex-Free Powder-Free Non-Sterile Food Safe Disposable Glove, Blue",B0C9S5PMSD,https://www.amazon.com/Supmedic-Nitrile-Disposable-Powder-Free-Latex-Free/dp/B0C9S5PMSD/ref=zg_bs_g_industrial_d_sccl_2/145-8561872-7371915?psc=1,4.7,19221.0,$7.81,7.81,Mid,9610.5,0.0952819294424139,2025-10-25
3,1,Best Sellers in Industrial & Scientific,Industrial & Scientific,Industrial,Scientific,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",B074CR89QG,https://www.amazon.com/Amazon-Brand-Flex-Size-Regular/dp/B074CR89QG/ref=zg_bs_g_industrial_d_sccl_3/145-8561872-7371915?psc=1,4.5,114186.0,$28.40,28.4,High,38062.0,0.3775515070288026,2025-10-25
1,1,Best Sellers in Kindle Store,Kindle Store,Kindle Store,,Nobody's Girl: A Memoir of Surviving Abuse and Fighting for Justice,B0FLHXDQHM,https://www.amazon.com/Nobodys-Girl-Surviving-Fighting-Justice-ebook/dp/B0FLHXDQHM/ref=zg_bs_g_digital-text_d_sccl_1/145-8561872-7371915?psc=1,4.6,108.0,$14.99,14.99,High,108.0,0.0023780305779544,2025-10-25
2,1,Best Sellers in Kindle Store,Kindle Store,Kindle Store,,The Widow: A Novel,B0F12K22XQ,https://www.amazon.com/Widow-Novel-John-Grisham-ebook/dp/B0F12K22XQ/ref=zg_bs_g_digital-text_d_sccl_2/145-8561872-7371915?psc=1,4.4,85.0,$13.99,13.99,Mid,42.5,0.0009339270840177,2025-10-25
3,1,Best Sellers in Kindle Store,Kindle Store,Kindle Store,,The Intruder,B0F77XYNSQ,https://www.amazon.com/Intruder-Freida-McFadden-ebook/dp/B0F77XYNSQ/ref=zg_bs_g_digital-text_d_sccl_3/145-8561872-7371915?psc=1,4.3,24115.0,$4.99,4.99,Mid,8038.333333333333,0.1772211156886374,2025-10-25
1,1,Best Sellers in Kitchen & Dining,Kitchen & Dining,Kitchen,Dining,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Denim",B0BZYCJK89,https://www.amazon.com/Owala-FreeSip-Insulated-Stainless-BPA-Free/dp/B0BZYCJK89/ref=zg_bs_g_kitchen_d_sccl_1/145-8561872-7371915?psc=1,4.7,92749.0,$29.99,29.99,High,92749.0,1.0,2025-10-25
2,1,Best Sellers in Kitchen & Dining,Kitchen & Dining,Kitchen,Dining,STANLEY Quencher H2.0 Tumbler with Handle and Straw 30 oz | Flowstate 3-Position Lid | Cup Holder Compatible for Travel | Insulated Stainless Steel Cup | BPA-Free | Lilac,B0CJZMP7L1,https://www.amazon.com/STANLEY-Flowstate-3-Position-Compatible-Insulated/dp/B0CJZMP7L1/ref=zg_bs_g_kitchen_d_sccl_2/145-8561872-7371915?psc=1,4.7,77498.0,,,unknown,38749.0,0.4176872683354191,2025-10-25
3,1,Best Sellers in Kitchen & Dining,Kitchen & Dining,Kitchen,Dining,"Etekcity Food Kitchen Scale, Digital Grams and Ounces for Weight Loss, Baking, Cooking, Keto and Meal Prep, LCD Display, Medium, 304 Stainless Steel",B0113UZJE2,https://www.amazon.com/Etekcity-Multifunction-Stainless-Batteries-Included/dp/B0113UZJE2/ref=zg_bs_g_kitchen_d_sccl_3/145-8561872-7371915?psc=1,4.6,168537.0,$10.99,10.99,Mid,56179.0,0.6056448778338199,2025-10-25
1,1,Best Sellers in Movies & TV,Movies & TV,Movies,TV,Mission: Impossible 8: The Final Reckoning,B0F8W6CMR9,https://www.amazon.com/Mission-Impossible-8-Final-Reckoning/dp/B0F8W6CMR9/ref=zg_bs_g_movies-tv_d_sccl_1/145-8561872-7371915?psc=1,4.6,147.0,$24.49,24.49,Mid,147.0,0.0234258218207351,2025-10-25
2,1,Best Sellers in Movies & TV,Movies & TV,Movies,TV,Army of Darkness - Limited Edition Steelbook [4K UHD],B0B4TP8NM6,https://www.amazon.com/Army-Darkness-Limited-Steelbook-UHD/dp/B0B4TP8NM6/ref=zg_bs_g_movies-tv_d_sccl_2/145-8561872-7371915?psc=1,4.8,12548.0,$17.99,17.99,Mid,6274.0,1.0,2025-10-25
3,1,Best Sellers in Movies & TV,Movies & TV,Movies,TV,Downton Abbey: The Grand Finale - Collector's Edition [DVD],B0FQKZFX3S,https://www.amazon.com/Downton-Abbey-Grand-Finale-Collectors/dp/B0FQKZFX3S/ref=zg_bs_g_movies-tv_d_sccl_3/145-8561872-7371915?psc=1,4.1,10.0,$17.95,17.95,Low,3.333333333333333,0.0005269876552782,2025-10-25
1,1,Best Sellers in Musical Instruments,Musical Instruments,Musical Instruments,,"FogWorx Extreme High Density Fog Juice - Quart – 32 Fluid Ounces of Long Lasting, High Output, Odorless Water Based Machine Fluid for 400 to 1500 Watt Machines",B0777S56RB,https://www.amazon.com/FogWorx-Extreme-High-Density-Juice/dp/B0777S56RB/ref=zg_bs_g_musical-instruments_d_sccl_1/145-8561872-7371915?psc=1,4.6,21298.0,$17.99,17.99,Mid,21298.0,1.0,2025-10-25
2,1,Best Sellers in Musical Instruments,Musical Instruments,Musical Instruments,,"Mini Mic Pro (Latest Model) - Professional Wireless Microphone for iPhone, iPad, Android, Lavalier Microphone for Video Recording - iPhone Mic Crystal Clear Recording with USB-C for Content Creators",B0CMJTSVRW,https://www.amazon.com/Mini-Mic-Pro-Professional-Microphone/dp/B0CMJTSVRW/ref=zg_bs_g_musical-instruments_d_sccl_2/145-8561872-7371915?psc=1,4.3,4958.0,$24.99,24.99,Mid,2479.0,0.1163328615361723,2025-10-25
3,1,Best Sellers in Musical Instruments,Musical Instruments,Musical Instruments,,"DJI Mic Mini (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone for iPhone/Camera/Android, Ultralight, Detail-Rich Audio, 48h Use, Noise Cancelling, Automatic Limiting, Vlog, Streaming",B0DDL8WGH5,https://www.amazon.com/DJI-Microphone-Ultralight-Detail-Rich-Cancelling/dp/B0DDL8WGH5/ref=zg_bs_g_musical-instruments_d_sccl_3/145-8561872-7371915?psc=1,4.7,6637.0,$98.90,98.9,High,2212.333333333333,0.1038112307238539,2025-10-25
1,1,Best Sellers in Office Products,Office Products,Office Products,,"Amazon Basics Multipurpose Copy Printer Paper, 8.5 x 11 Inches, 20 lb, 1 Ream, (500 Sheets), 92 Bright, White",B01FV0F8H8,https://www.amazon.com/AmazonBasics-Multipurpose-Copy-Printer-Paper/dp/B01FV0F8H8/ref=zg_bs_g_office-products_d_sccl_1/145-8561872-7371915?psc=1,4.8,203230.0,$6.65,6.65,Low,203230.0,1.0,2025-10-25
2,1,Best Sellers in Office Products,Office Products,Office Products,,"HP 67XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100, ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM57AN",B08412PTS8,https://www.amazon.com/HP-Cartridge-Black-3YM57AN-Tri-Color/dp/B08412PTS8/ref=zg_bs_g_office-products_d_sccl_2/145-8561872-7371915?psc=1,4.6,102733.0,$35.89,35.89,High,51366.5,0.2527279800753377,2025-10-25
3,1,Best Sellers in Office Products,Office Products,Office Products,,HP Printer Paper | 8.5 x 11 Paper | Copy &Print 20 lb | 1 Ream Case - 500 Sheets| 92 Bright | Made in USA - FSC Certified | 200060,B001AFL8GY,https://www.amazon.com/HP-Printer-Paper-Print20-200060R/dp/B001AFL8GY/ref=zg_bs_g_office-products_d_sccl_3/145-8561872-7371915?psc=1,4.8,91280.0,$6.67,6.67,Low,30426.666666666668,0.1496897151078783,2025-10-25
1,1,"Best Sellers in Patio, Lawn & Garden","Patio, Lawn & Garden",Patio,Lawn,"Zevo Flying Insect Trap & Cartridge - Plug in Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Mess-Free - Use in Any Room - Uses Blue & UV Light (1 Plug in Device & 1 Cartridge)",B07T869RNY,https://www.amazon.com/Electric-Flying-Insect-Trap-Starter/dp/B07T869RNY/ref=zg_bs_g_lawn-garden_d_sccl_1/145-8561872-7371915?psc=1,4.2,69805.0,$19.97,19.97,Mid,69805.0,1.0,2025-10-25
2,1,"Best Sellers in Patio, Lawn & Garden","Patio, Lawn & Garden",Patio,Lawn,"Zevo Flying Insect Trap Official Refill Cartridges - Fits Both Zevo Trap & MAX Indoor Fly Trap - Authentic Trap+Lock Technology to Catch Gnats, House & Fruit Flys (4 Official Refill Cartridges)",B0C3FTCYZL,https://www.amazon.com/ZEVO-Flying-Insect-Refills-Indoor/dp/B0C3FTCYZL/ref=zg_bs_g_lawn-garden_d_sccl_2/145-8561872-7371915?psc=1,4.8,30069.0,$14.82,14.82,Mid,15034.5,0.2153654600846082,2025-10-25
3,1,"Best Sellers in Patio, Lawn & Garden","Patio, Lawn & Garden",Patio,Lawn,TERRO Fruit Fly Traps for Indoors (4 Pack) + 180 Days of Lure Supply,B01MRHXM0I,https://www.amazon.com/Terro-Fruit-Trap-Traps-Supply/dp/B01MRHXM0I/ref=zg_bs_g_lawn-garden_d_sccl_3/145-8561872-7371915?psc=1,4.0,21673.0,$10.99,10.99,Mid,7224.333333333333,0.1034781023069262,2025-10-25
