rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,move_pct,sales_rank_now,sales_rank_was,sales_rank_change,sales_rank_change_abs,move_direction,review_density,norm_review_density,scraped_at
3,1,Movers & Shakers in CDs & Vinyl,CDs & Vinyl,CDs,Vinyl,"Where I've Been, Isn't Where I'm Going",B0D1KVRCFZ,https://www.amazon.com/Where-Ive-Been-Isnt-Going/dp/B0D1KVRCFZ/ref=zg_bsms_g_music_d_sccl_3/136-5094779-5527625?psc=1,4.7,769.0,$23.89 (converted),23.89,Mid,,,,,,,256.3333333333333,0.5351139466556999,2025-10-25
1,1,Movers & Shakers in Camera & Photo Products,Camera & Photo Products,Camera,Photo Products,12x56 High Power Monocular Telescope for Adults | Comes with Smartphone Adapter Tripod Travel Bag | Bird Watching Hunting Hiking Camping Gift - Green,B0B6FRRCKC,https://www.amazon.com/12x56-Monocular-Telescope-Smartphone-Monoculars/dp/B0B6FRRCKC/ref=zg_bsms_g_photo_d_sccl_1/136-5094779-5527625?psc=1,4.4,847.0,$89.64 (converted),89.64,Mid,,,,,,,847.0,1.0,2025-10-25
2,1,Movers & Shakers in Camera & Photo Products,Camera & Photo Products,Camera,Photo Products,Celestron SkyMaster 25x100 Binoculars – Giant Aperture Binoculars for Deep-Sky Astronomy & Long-Distance Viewing – Multi-Coated Optics – Includes Tripod Adapter & Carrying Case,B00008Y0VU,https://www.amazon.com/Celestron-SkyMaster-25X100-Binoculars-carrying/dp/B00008Y0VU/ref=zg_bsms_g_photo_d_sccl_2/136-5094779-5527625?psc=1,4.1,912.0,$402.13 (converted),402.13,High,78.0,230.0,411.0,181.0,181.0,up,456.0,0.5383252976483323,2025-10-25
3,1,Movers & Shakers in Camera & Photo Products,Camera & Photo Products,Camera,Photo Products,"Upcheirna 20x50 High Power Binoculars with Focus Adjustment &Lens Protection for Long-Distance Viewing, Low Light Night Vision, Lightweight & Portable HD for Adults, Bird Watching,Hunting (Black)",B0DSVPJQLC,https://www.amazon.com/Upcheirna-Binoculars-Lightweight-Portable-Watching/dp/B0DSVPJQLC/ref=zg_bsms_g_photo_d_sccl_3/136-5094779-5527625?psc=1,4.0,13.0,$25.89 (converted),25.89,Mid,76.0,140.0,247.0,107.0,107.0,up,4.333333333333333,0.0050182032864311,2025-10-25
1,1,Movers & Shakers in Cell Phones & Accessories,Cell Phones & Accessories,Cell Phones,Accessories,FNTCASE for iPhone SE 3rd(2022) Case: iPhone SE 2nd(2020) Case Magnetic Military Grade Drop Protection Anti Yellowing Cell Phone Cover - Shockproof Protective Transparent Cases - 4.7 inch (A-Clear),B0DCS8J2KL,https://www.amazon.com/FNTCASE-iPhone-SE-3rd-Case/dp/B0DCS8J2KL/ref=zg_bsms_g_wireless_d_sccl_1/136-5094779-5527625?psc=1,4.7,31223.0,$5.67 (converted),5.67,Low,,,,,,,31223.0,0.5999641625155052,2025-10-25
2,1,Movers & Shakers in Cell Phones & Accessories,Cell Phones & Accessories,Cell Phones,Accessories,"Temdan for iPhone 11 Case, Compatible with Magsafe, Anti-Yellowing, Military-Grade Protection, Shockproof Slim Magnetic Phone Case Cover, Black",B0DL37JN15,https://www.amazon.com/Temdan-Military-Grade-Anti-Fingerprint-Anti-Scratch-Translucent/dp/B0DL37JN15/ref=zg_bsms_g_wireless_d_sccl_2/136-5094779-5527625?psc=1,4.6,10532.0,$7.96 (converted),7.96,Low,,,,,,,5266.0,0.1011620312666246,2025-10-25
3,1,Movers & Shakers in Cell Phones & Accessories,Cell Phones & Accessories,Cell Phones,Accessories,PEHAEL 2Pack for iPhone 11 Pro Max/iPhone Xs Max Privacy Screen Protector Anti-Spy Tempered Glass Film 9H Hardness Easy Installation Bubble Free [6.5 inch],B07GW9775X,https://www.amazon.com/pehael-Pro-Max-6-5-inch/dp/B07GW9775X/ref=zg_bsms_g_wireless_d_sccl_3/136-5094779-5527625?psc=1,4.4,156121.0,$5.96 (converted),5.96,Low,,,,,,,52040.333333333336,1.0,2025-10-25
1,1,"Movers & Shakers in Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry",Clothing,Shoes,SHAPERX Women's Shapewear Bodysuit Tummy Control Body Shaper Seamless Sculpting Snatched Waist Body Suit,B0B1LVKJ4Q,https://www.amazon.com/SHAPERX-Shapewear-Sculpting-SZ5215-Black-XXS-XS/dp/B0B1LVKJ4Q/ref=zg_bsms_g_fashion_d_sccl_1/136-5094779-5527625?psc=1,4.1,44497.0,$28.76 (converted),28.76,High,88.0,63.0,119.0,56.0,56.0,up,44497.0,1.0,2025-10-25
2,1,"Movers & Shakers in Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry",Clothing,Shoes,BGOKTA Halloween Animal Onesie Pajamas for Adults Costume Cosplay Homewear One Piece,B0DDPZL518,https://www.amazon.com/BGOKTA-Halloween-Pajamas-Costume-Homewear/dp/B0DDPZL518/ref=zg_bsms_g_fashion_d_sccl_2/136-5094779-5527625?psc=1,4.5,2752.0,$29.87 (converted),29.87,High,65.0,322.0,532.0,210.0,210.0,up,1376.0,0.030899234136487,2025-10-25
3,1,"Movers & Shakers in Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry",Clothing,Shoes,Sun-Staches Official Minions Goggles | Minions Costume Glasses | One Size Fits Most,B0FK7CJVTZ,https://www.amazon.com/Sun-Staches-Comfortable-Accessory-Halloween-Officially/dp/B0FK7CJVTZ/ref=zg_bsms_g_fashion_d_sccl_3/136-5094779-5527625?psc=1,4.5,1966.0,$11.94 (converted),11.94,Mid,60.0,368.0,589.0,221.0,221.0,up,655.3333333333334,0.0147029812991462,2025-10-25
1,1,Movers & Shakers in Collectible Coins,Collectible Coins,Collectible Coins,,"Peace Dollar Antique Silver Coins, U.S. Ancient Coin Collection, American Lucky Coin, Old Coins for Collectors, Commemorative Silver Dollars Coin Set (1921 Peace Dollar)",B0FRYV55V8,https://www.amazon.com/Antique-Collection-American-Collectors-Commemorative/dp/B0FRYV55V8/ref=zg_bsms_g_coins_d_sccl_1/136-5094779-5527625?psc=1,,,$32.37 (converted),32.37,High,,,,,,,,,2025-10-25
2,1,Movers & Shakers in Collectible Coins,Collectible Coins,Collectible Coins,,"1904 -1914 Kaiser Era German 5 Pfennig Coin. Issued Under Kaiser Wilhelm II From Prussia, An Empire That Started World War 1 WW1. 5 Pfennig, Monetized And Guaranteed By The German Government. Graded By Seller. Circulated Condition",B0D57C57P7,https://www.amazon.com/Monetized-Guaranteed-Government-Circulated-Condition/dp/B0D57C57P7/ref=zg_bsms_g_coins_d_sccl_2/136-5094779-5527625?psc=1,4.8,13.0,$4.97 (converted),4.97,Low,740.0,179.0,,,,,6.5,0.1971323999102256,2025-10-25
3,1,Movers & Shakers in Collectible Coins,Collectible Coins,Collectible Coins,,The US Navy Military Challenge Coin Pays Tribute to Our Navy Veterans,B0FM7Z2GCD,https://www.amazon.com/Navy-Military-Challenge-Tribute-Veterans/dp/B0FM7Z2GCD/ref=zg_bsms_g_coins_d_sccl_3/136-5094779-5527625?psc=1,2.5,2.0,$9.95 (converted),9.95,Low,713.0,187.0,,,,,0.6666666666666666,0.0195834700090349,2025-10-25
